ID,lon_data,lat_data,temp_data,pressure_data,humidity_data,cloud_data,visibility_data,wind_speed_data,date
1,44.3501,14.8516,292.26,1013,33,2,10000,1.33,"2022/06/03
"
2,44.3501,14.8516,291.61,1014,44,11,10000,1.95,"2022/06/04
"
3,44.3501,14.8516,291.84,1015,37,47,10000,0.74,"2022/06/05
"
4,44.3501,14.8516,292.2,1015,33,99,10000,0.78,"2022/06/06
"
5,44.3501,14.8516,292.11,1014,41,41,10000,0.81,"2022/06/07
"
6,44.3501,14.8516,293.53,1014,23,17,0,0.31,"2022/06/08
"
7,44.3501,14.8516,293.03,1016,18,0,0,3.11,"2022/06/09
"
8,44.3501,14.8516,293.62,1016,17,63,0,2.62,"2022/06/10
"
9,44.3501,14.8516,293.87,1014,12,1,0,1.94,"2022/06/11
"
10,44.3501,14.8516,293.9,1012,13,0,0,1.18,"2022/06/12
"
11,44.3501,14.8516,295.51,1013,25,0,0,0.62,"2022/06/13
"
12,44.3501,14.8516,294.07,1015,35,89,0,0.67,"2022/06/14
"
13,44.3501,14.8516,295.3,1015,20,28,0,0.95,"2022/06/15
"
14,44.3501,14.8516,296.1,1015,19,82,0,0.94,"2022/06/16
"
15,44.3501,14.8516,295.17,1015,16,0,0,1.44,"2022/06/17
"
16,44.3501,14.8516,293.29,1014,16,0,0,2.63,"2022/06/18
"
17,44.3501,14.8516,293.25,1015,29,0,0,0.51,"2022/06/19
"
18,44.3501,14.8516,293.41,1017,35,0,0,0.79,"2022/06/20
"
19,44.3501,14.8516,293.32,1017,21,0,0,2.28,"2022/06/21
"
20,44.3501,14.8516,294.95,1016,20,65,0,3.52,"2022/06/22
"
21,44.3501,14.8516,293.5,1017,46,0,0,0.68,"2022/06/23
"
22,44.3501,14.8516,293.12,1017,62,0,0,0.43,"2022/06/24
"
23,44.3501,14.8516,293.24,1017,62,36,0,0.65,"2022/06/25
"
24,44.3501,14.8516,292.98,1016,59,1,0,0.87,"2022/06/26
"
25,44.3501,14.8516,293.04,1016,61,71,0,0.78,"2022/06/27
"
26,44.3501,14.8516,291.29,1016,77,14,0,1.24,"2022/06/28
"
27,44.3501,14.8516,291.89,1016,71,0,0,1.02,"2022/06/29
"
28,44.3501,14.8516,291.78,1018,65,1,0,1.38,"2022/06/30
"
29,44.3501,14.8516,291.51,1019,71,34,0,1.55,"2022/07/01
"
30,46.7219,24.6877,305.01,1007,8,0,10000,3.41,"2022/06/03
"
31,46.7219,24.6877,306.17,1006,9,0,10000,4.81,"2022/06/04
"
32,46.7219,24.6877,305.83,1008,10,0,10000,3.78,"2022/06/05
"
33,46.7219,24.6877,305.41,1008,10,0,10000,4.2,"2022/06/06
"
34,46.7219,24.6877,305.31,1007,11,79,10000,7.09,"2022/06/07
"
35,46.7219,24.6877,304.43,1007,13,6,0,4.6,"2022/06/08
"
36,46.7219,24.6877,304.73,1008,12,89,0,3.72,"2022/06/09
"
37,46.7219,24.6877,303.82,1011,14,0,0,4.64,"2022/06/10
"
38,46.7219,24.6877,302.27,1010,14,0,0,3.55,"2022/06/11
"
39,46.7219,24.6877,306,1005,13,0,0,8.38,"2022/06/12
"
40,46.7219,24.6877,307.42,1006,13,0,0,4.26,"2022/06/13
"
41,46.7219,24.6877,308.41,1008,13,0,0,5.14,"2022/06/14
"
42,46.7219,24.6877,309.03,1007,12,0,0,3.06,"2022/06/15
"
43,46.7219,24.6877,306.85,1008,14,0,0,2.5,"2022/06/16
"
44,46.7219,24.6877,306.24,1010,16,0,0,3.72,"2022/06/17
"
45,46.7219,24.6877,303.75,1010,18,0,0,2.83,"2022/06/18
"
46,46.7219,24.6877,304.36,1010,13,0,0,2.54,"2022/06/19
"
47,46.7219,24.6877,302.15,1012,10,0,0,1.98,"2022/06/20
"
48,46.7219,24.6877,300.71,1012,12,0,0,4.15,"2022/06/21
"
49,46.7219,24.6877,302.51,1013,18,0,0,3.9,"2022/06/22
"
50,46.7219,24.6877,304.28,1012,16,0,0,3.56,"2022/06/23
"
51,46.7219,24.6877,306.48,1010,14,0,0,5.57,"2022/06/24
"
52,46.7219,24.6877,304.95,1010,19,0,0,4.88,"2022/06/25
"
53,46.7219,24.6877,301.75,1012,19,0,0,3.8,"2022/06/26
"
54,46.7219,24.6877,301.17,1012,21,0,0,4.82,"2022/06/27
"
55,46.7219,24.6877,302.04,1010,23,0,0,5.44,"2022/06/28
"
56,46.7219,24.6877,306.29,1004,18,28,0,3.92,"2022/06/29
"
57,46.7219,24.6877,307.39,1005,16,57,0,1.89,"2022/06/30
"
58,46.7219,24.6877,305.17,1008,19,30,0,1.22,"2022/07/01
"
